"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100"
"Cynanchica_pyrenaica",-0.0428935580427365,0.00466299233979807,0.0693403512538871,-0.0431193832884986,-0.0262333557677048,-0.454481045387168,-0.410863532504171,0.714179701973163,-0.0525682876529153,-0.295613969314334,-0.0260305621710227,-0.00118700835462944,-0.00112622484304405,3.72634370904104e-05,-0.055930339339392,0.0365684709610332,-2.68349898445364e-16,-7.10284118468242e-16,-1.51950382521703e-15,-0.00315323480453132,0.00678628328244812,0.000145422599979184,0.000484514457142496,-0.00223707458285827,0.00303901821282172,-4.60072865997003e-05,-5.2400204504154e-05,-9.81755145232336e-17,0.000211097129359274,0.000432016111088769,0.000696303264140808,0.000238181460391159,6.37367187276162e-17,1.19565983729361e-16,0,0,0,-1.70956973088917e-16,0,0,-2.69466705057849e-16,0,1.00897080322396e-15,-8.71582359788255e-16,-3.99989969151546e-06,-0.000469445698861083,5.08444617664368e-05,1.32946890578913e-05,-3.00231207840057e-16,-0.000192962263273682,-9.79084685275242e-17,-0.000163702064642791,5.43486689631811e-17,4.90199560933926e-05,2.82357384365854e-05,-2.8165176901917e-05,2.67339336149494e-15,-8.69572274905594e-16,-2.60378197656757e-15,-5.38557759558156e-17,-1.40132335028185e-17,-5.64709149668052e-16,-6.19059633070921e-17,3.02912309166473e-06,-1.03899431587865e-17,-2.72592349529681e-16,-1.26432208373491e-16,-2.72957876810174e-16,1.05228812003286e-05,-2.88849191730452e-05,-7.63868358330549e-06,-1.95399714824621e-15,9.03688351666845e-16,0,0,1.93076426682335e-15,1.15811826605551e-15,1.75313724158425e-16,3.48318729847687e-05,5.22939309694064e-05,-2.8907261400408e-06,-1.03289694388905e-15,-6.8701511377978e-06,-7.87946473335796e-16,-1.76107364564198e-15,6.21479638763905e-06,5.76728339553341e-17,1.94875869172042e-06,-1.07216363178944e-15,4.80865718640584e-16,2.83019039091092e-15,-4.65756300959181e-16,-1.66361794214668e-15,-3.98027071483746e-06,5.69838476348215e-07,-7.131269951001e-16,-3.94139100057034e-08,3.20266454762367e-15,4.60666190088578e-15,-0.099999999999999
"Galium_spurium",-0.129105810517139,-0.014067397534762,-0.115265701698492,0.000275976668024758,0.000583130843053748,0.00863809069560556,0.00484641755155533,-0.00706610358820164,0.000279104469101479,-0.0139662520484998,2.66650732204075e-05,-2.94139394300431e-07,0.029887915575174,1.60932495918358e-07,-0.000665852937091069,-0.000239870298139475,3.46161477259264e-16,-1.2766297637269e-17,1.18160680133704e-15,4.42660118390786e-06,-0.00458596219690951,1.64632152261745e-06,-8.13760206793578e-06,0.190139737025893,0.00316556216030855,-8.07772801676308e-07,-8.89970016462225e-07,2.77538076247767e-16,0.000126207568014801,5.04898184028514e-06,6.15007197894815e-06,-2.36126936058402e-05,-2.23847733086117e-14,-1.12314852571801e-14,9.27304466422239e-15,-1.64244013481942e-15,-1.30681546539139e-14,1.14495930792174e-14,7.8290905286811e-15,1.01856095807979e-14,7.54061918818226e-15,6.87177560938435e-15,-1.84028811882854e-15,-5.06768318085068e-14,6.95609571988197e-08,0.253094396789805,2.22897897969452e-06,4.82688868717489e-07,3.73160794723985e-15,-7.78403620625266e-05,3.19974885518256e-15,0.235144428799764,-1.95519729459833e-14,3.2988466006255e-06,4.09953573386332e-05,-0.230038956519835,-0.864170711287898,0.0411569446117688,0.0389241269811869,-1.61840584936814e-12,-1.17471112883988e-12,2.07547006427985e-13,5.51796070750328e-15,8.71524439644636e-08,2.4528740527225e-16,1.90495683656027e-14,5.89057391358905e-14,8.65533402429728e-15,0.00337458668798861,-7.7388421267562e-07,-2.04613498403829e-07,-3.24061122962264e-15,-1.37161905705838e-15,1.53443064621321e-15,-5.9832384126574e-15,8.73422264624389e-15,5.98062043165446e-15,-9.82468895904605e-15,9.4239884854292e-07,0.0119946663098236,-7.47414403046755e-08,-9.69444097287937e-15,-0.00137652464869598,-2.92190339348744e-15,-9.66837237688106e-16,0.00103163122432457,2.71601462746554e-14,5.08932238412969e-08,3.36116594520634e-15,-2.50851019506527e-16,-2.9904207767141e-15,-1.46045185288092e-14,-8.6472550823654e-15,-0.000474891417803209,6.72599350685065e-05,-5.83965452086417e-16,-4.59712709926882e-06,-9.53126902859928e-15,7.17288872204758e-15,-0.100000000000028
"Galium_concinnum",-0.129105810517138,-0.0140673975347621,-0.115265701698494,0.000275976668022491,0.000583130843051733,0.00863809069560541,0.00484641755155543,-0.00706610358820207,0.00027910446909377,-0.0139662520485005,2.6665073216078e-05,-2.94139389019635e-07,0.0298879155751687,1.60932497600917e-07,-0.000665852937086113,-0.000239870298146444,-8.42963147739054e-16,-1.25804391750878e-15,-3.0983038970867e-16,4.42660118564865e-06,-0.00458596219691185,1.64632152429268e-06,-8.13760208341967e-06,0.190139737025879,0.00316556216030781,-8.07772807004299e-07,-8.89970047844456e-07,-8.75379304380879e-17,0.000126207568000518,5.04898179296351e-06,6.15007192163479e-06,-2.36126935991648e-05,-2.27825334761613e-14,-2.08377823347094e-14,1.12449386873737e-14,-5.51796636202329e-15,-1.51855777131904e-14,-8.86675815334124e-15,6.72170291817448e-15,9.82115981736629e-15,5.22857916483075e-15,3.7475141601027e-16,-9.37412152568957e-16,-1.14672855615359e-14,6.95609599725322e-08,0.253094396789713,2.22897898370968e-06,4.82688904342817e-07,8.02658132647048e-16,-7.78403620314762e-05,3.04856954308312e-15,0.235144428799786,3.57564293230755e-14,3.29884657388726e-06,4.09953572860376e-05,-0.230038956518334,0.341461051900618,0.571334150644621,0.554059237213588,5.00110376551699e-13,-3.23917207969114e-14,6.77465917535349e-15,7.64889300299471e-15,8.71525084142192e-08,2.08485831204861e-14,-3.95585351549205e-15,-4.66448351759824e-14,-1.00646041966645e-14,0.00337458668796342,-7.73884205683583e-07,-2.046135798366e-07,8.3233824563984e-15,-4.55544634519481e-15,-2.83746197793974e-15,1.43266594665567e-15,-5.60390907315652e-15,-4.09096111607377e-15,-1.14837798865211e-15,9.4239886608652e-07,0.0119946663098285,-7.47414605056143e-08,3.86238805889207e-15,-0.00137652464860001,-1.80767480371021e-15,1.51866949502809e-15,0.00103163122434589,-1.54280180411939e-14,5.08932399652334e-08,7.6857712022864e-16,-5.34874453492149e-16,1.67504603700972e-16,-1.3451781661951e-15,-3.1234283259759e-16,-0.000474891417783865,6.72599350302728e-05,2.00791695529766e-16,-4.59712703140773e-06,-3.99629749933789e-16,7.43344132970795e-15,-0.100000000000016
"Galium_setaceum",-0.129105810517138,-0.0140673975347618,-0.115265701698492,0.000275976668023648,0.000583130843054409,0.00863809069560783,0.00484641755155506,-0.00706610358820168,0.000279104469094241,-0.0139662520485017,2.66650732164949e-05,-2.94139390393448e-07,0.0298879155751676,1.60932493688107e-07,-0.000665852937087196,-0.000239870298141061,-5.44377773104273e-16,1.60899623625853e-16,-4.81801563923413e-16,4.42660118475907e-06,-0.00458596219690833,1.64632152083719e-06,-8.13760207769483e-06,0.190139737025871,0.00316556216030326,-8.07772800158771e-07,-8.89970031087655e-07,1.56064925663067e-15,0.000126207568004489,5.04898182902975e-06,6.15007194934973e-06,-2.36126935947303e-05,-6.4459892877205e-15,-1.09777899661046e-14,9.36725608712464e-15,3.13334742716461e-15,-2.98873953767514e-15,2.3049558433232e-15,5.4360268494777e-15,1.96605773727461e-15,2.83780870914471e-15,-3.43054792422749e-16,-4.45986857131438e-15,-1.92345514130693e-14,6.956094517943e-08,0.253094396789683,2.22897895248874e-06,4.8268888148102e-07,-2.38279611626196e-15,-7.7840362048076e-05,3.36068156099385e-14,0.235144428799542,1.99445971098763e-14,3.2988467364006e-06,4.0995357230328e-05,-0.230038956516366,0.261919532004227,0.185847290833396,-0.80427541504463,6.68421258086576e-13,7.27866995725765e-13,2.6505606049353e-13,1.62386833346885e-14,8.71524952400169e-08,1.20037746548169e-14,1.68171156286365e-14,7.10784733277716e-15,-2.41303187019651e-15,0.00337458668794558,-7.73884215852514e-07,-2.04613563366958e-07,2.4767869652213e-15,1.38307915742028e-16,5.76819179823075e-15,1.10798888690217e-14,1.18778119718687e-14,1.72876860457812e-14,2.86908065214027e-15,9.42398855793091e-07,0.0119946663098348,-7.47414421851081e-08,-2.49671217321902e-16,-0.00137652464861591,-1.18479161378623e-15,-2.81852583759914e-15,0.00103163122433121,8.68407800804163e-16,5.08932369759618e-08,-1.19323647076016e-15,-1.93151393458815e-15,2.76447937907123e-15,-4.92802055899902e-15,-1.73136117787434e-15,-0.000474891417785223,6.72599350422621e-05,-4.71063780152306e-16,-4.59712703669477e-06,1.12228582098655e-15,7.96184215502889e-15,-0.0999999999999773
"Galium_sterneri",-0.129105810517139,-0.0140673975347628,-0.115265701698493,0.000275976668023582,0.000583130843054235,0.00863809069560586,0.00484641755155532,-0.00706610358820237,0.000279104469093676,-0.0139662520485015,2.66650732172078e-05,-2.94139390939588e-07,0.0298879155751681,1.6093249555214e-07,-0.000665852937080786,-0.000239870298142292,-9.18163199372303e-16,-5.53433049563428e-16,-6.13881834806403e-16,4.426601185451e-06,-0.0045859621969077,1.64632152021567e-06,-8.13760207749447e-06,0.19013973702588,0.00316556216031007,-8.07772800791677e-07,-8.89970027096971e-07,2.06377616759561e-15,0.000126207568017691,5.04898180811872e-06,6.15007194344227e-06,-2.36126936049896e-05,-9.22783149173862e-15,-8.92403242374268e-15,7.05150655917907e-15,-2.27668733547921e-15,-2.05344427663935e-15,-1.06091858990559e-15,3.21801860740239e-15,1.38318334436509e-15,1.48580014314566e-15,1.72458755898129e-15,-6.88153104487495e-15,-1.47940705652846e-14,6.95609586563455e-08,0.253094396789675,2.22897898731412e-06,4.82688888773503e-07,1.20410802433718e-14,-7.78403620752777e-05,2.69966152674336e-14,0.235144428799481,7.0713169643413e-15,3.2988468099898e-06,4.09953573605134e-05,-0.230038956515813,0.260790127385562,-0.798338386091575,0.211292050848673,2.99958011633759e-13,2.41983006130713e-13,-5.33598482908654e-13,-8.94846049664145e-15,8.71525360388193e-08,-1.71522063517282e-14,-1.52642076737155e-14,-1.81685495645677e-15,-2.89368485232928e-15,0.00337458668794826,-7.73884211464282e-07,-2.04613553257879e-07,-1.44909968859945e-14,4.63846849802335e-15,5.57601685522142e-15,1.2249241445852e-15,1.69000149255207e-14,5.9181253879572e-16,3.43470804396298e-15,9.42398861449272e-07,0.0119946663098312,-7.47414446969142e-08,-6.5077693236188e-16,-0.0013765246486224,3.21674406072607e-16,-2.09877006955654e-15,0.00103163122432901,3.9892046145635e-15,5.08932345965746e-08,1.23306418689782e-15,-2.93474322737999e-15,5.29628185308512e-15,1.97727588176281e-15,-7.90356298177956e-15,-0.000474891417773575,6.72599350325406e-05,-2.97200593678051e-15,-4.59712702423677e-06,5.21724232230948e-15,3.83393901289277e-15,-0.0999999999999977
"Galium_richardianum",-0.130623285361635,-0.0144083934473179,-0.128481517453552,0.000328487856357655,0.000765216021781066,0.0120379082324541,0.0078182629279137,-0.0119996714076548,0.000550669893240388,-0.0315233160890593,0.000101179517214302,-1.95795774557799e-06,0.320964780954525,2.68028195231136e-06,-0.0167684126316183,0.0052393013032455,9.02509736938135e-17,-3.06490876176764e-16,-1.31627733004633e-16,-1.62309486021379e-05,0.0139118106479218,-4.77153108454424e-06,1.20034781073776e-05,-0.219333656943848,-0.00199116801146653,4.2990770938918e-07,4.45120852022482e-07,-7.39609994606499e-16,-5.25434579357109e-05,-1.80843387550366e-06,-2.01472958469922e-06,6.6275170766405e-06,1.68997521497261e-15,3.79517205086768e-15,7.07005972119818e-16,-1.26645039713361e-15,-3.31128864114843e-17,-1.40529112346965e-15,2.0908091926546e-16,-3.72123736463706e-16,-1.23659499233893e-15,-6.42110889799897e-16,3.4280877600457e-15,7.19150192529502e-15,-1.83206926526272e-08,-0.0601020900269342,-4.49498081050723e-07,-9.0798561959413e-08,-1.68818190005314e-15,1.92320339071512e-05,2.05349813616795e-15,0.0196461610695153,5.09148872334361e-16,8.68794521015291e-08,3.69491172557705e-07,-0.000172736508487089,4.05786515500495e-14,-1.40738115605998e-14,2.40259201422788e-16,-1.39208819961476e-15,8.6491028086482e-16,-2.33696961601499e-15,-9.74663199778895e-16,1.36631262850732e-09,-1.96962568125688e-16,9.70050818985173e-16,4.231013387011e-15,-8.91364934296402e-16,0.000230841769493954,-5.65050309554786e-08,-1.54836228063559e-08,-5.66956770232164e-15,1.53472760060258e-15,-1.06419134281102e-15,1.65614945576726e-15,-2.85424203843774e-16,4.56970785872828e-15,-9.07538092044767e-16,8.57449457017149e-08,0.00116344499715776,-7.82993341960107e-09,-7.18014639367149e-15,-0.000152774910393216,2.66877617486915e-15,-2.91515317172734e-15,0.000137892500933438,3.03283789592261e-14,8.13245253033917e-09,-2.36236699776289e-15,1.76988876812764e-14,-1.24635271648824e-14,-4.00172141534672e-14,-1.5419672584158e-14,-0.31439566827042,0.194261632225874,6.95328164147396e-14,-0.403316240445874,-0.707106781187213,-1.30782273913567e-14,-0.100000000000016
"Galium_circaezans",-0.130623285361635,-0.014408393447318,-0.128481517453552,0.00032848785635731,0.000765216021781104,0.0120379082324543,0.00781826292791372,-0.0119996714076544,0.000550669893242043,-0.0315233160890599,0.000101179517214446,-1.95795774757607e-06,0.320964780954526,2.68028195225767e-06,-0.0167684126316183,0.00523930130324568,1.55356188575194e-16,4.2809200749626e-16,-2.11389745514725e-16,-1.62309486032972e-05,0.0139118106479219,-4.77153108548021e-06,1.20034781081172e-05,-0.219333656943843,-0.00199116801146502,4.29907709128816e-07,4.45120850637313e-07,-8.75287540313349e-16,-5.25434579398509e-05,-1.80843387500781e-06,-2.01472957629166e-06,6.62751707566502e-06,2.64122856329056e-15,2.34583785607941e-15,-3.05142352091791e-15,1.81551175693247e-15,1.17104016966884e-15,-9.81606916406592e-16,-1.77042130125068e-15,-8.53277172773757e-16,-2.24010835699203e-15,-3.99417595752022e-16,1.0238185740334e-15,2.27206480312445e-15,-1.83206917530431e-08,-0.0601020900269267,-4.49498082311054e-07,-9.07985652923047e-08,-2.06211420763915e-15,1.92320339068116e-05,1.32135185345659e-15,0.0196461610695161,1.32929741598158e-15,8.68794529722786e-08,3.69491173428092e-07,-0.000172736508500245,2.66453525910038e-14,-7.71344793593087e-15,8.13585310233123e-16,-1.39795006921966e-15,-2.9233455425934e-16,1.33775691847663e-15,8.08905488886376e-16,1.36631434843901e-09,-1.87022552706458e-15,-3.51909334416795e-16,-5.17771764236303e-15,-2.90767083012023e-15,0.000230841769499154,-5.65050397505313e-08,-1.54836273794332e-08,-2.72094964581409e-15,6.1476501436666e-16,5.90289531618618e-16,-8.14200530445919e-16,-1.35152377041269e-15,2.74195632548417e-15,2.62177987026191e-15,8.57449600534316e-08,0.00116344499716684,-7.82993442570781e-09,6.50257585982273e-15,-0.000152774910371904,-2.28182627806336e-15,-2.72304436068591e-15,0.000137892500980955,-1.6299921952795e-14,8.13244880142191e-09,1.50360227252803e-14,-1.90850943468173e-14,9.12534406772373e-15,4.2104451409205e-14,5.11891018590838e-15,-0.314395668270078,0.194261632225104,5.37246766572213e-14,-0.403316240448858,0.707106781185882,-3.82614957964149e-14,-0.099999999999968
"Galium_texense",-0.130623024516313,-0.0144083349752444,-0.12847928708218,0.000328479093885599,0.000765186098080956,0.0120373542901809,0.00781778764483261,-0.0119988869808514,0.000550627368824095,-0.0315205988249271,0.000101168350098868,-1.95771328125459e-06,0.320922430428929,2.67991745687147e-06,-0.0167660909638565,0.00523852258248888,3.95849836848804e-16,1.50272642515411e-16,-1.25907458052394e-15,-1.62281196032444e-05,0.0139093003198577,-4.7706622424914e-06,1.20008876867253e-05,-0.219282440883925,-0.00199058401777075,4.29772607317446e-07,4.44977268512944e-07,-2.64502461905377e-17,-5.25251333467956e-05,-1.80776106160191e-06,-2.0139506179551e-06,6.62477810132869e-06,2.08770924963655e-15,1.82485281119973e-15,-1.06913593938138e-15,-4.53018291389501e-17,6.39443158143108e-16,-5.89591753866587e-16,-1.87655847931044e-15,-1.85978027992957e-16,-1.33078102523323e-15,-1.38304823792178e-15,1.36741389656275e-15,5.86644316033237e-15,-1.83129105750942e-08,-0.0600753939506496,-4.49283641230707e-07,-9.07538663122873e-08,-3.82435274398643e-16,1.92202266482796e-05,-1.20030323250767e-15,0.0196333761096215,7.6924939097568e-16,8.68215155221174e-08,3.69239138111234e-07,-0.000172614631842694,-3.94545507376165e-14,9.5062846483529e-16,-3.52495810318487e-15,-6.75588089376921e-16,-1.04352730396318e-15,-1.37121056970532e-16,1.71168470818901e-15,1.36517677129834e-09,3.65452284486986e-16,-2.1454118674569e-15,-9.79189253337016e-18,2.19558495001341e-16,0.00023056346833801,-5.64341822363579e-08,-1.54637501033852e-08,-3.03539902579846e-15,-3.16253149760332e-15,5.05425965587053e-15,1.18799389873864e-15,2.71699144452576e-15,9.74740270721964e-17,-3.95918069028651e-16,8.56174357504398e-08,0.00116159912382279,-7.81633678911352e-09,1.64715278353537e-15,-0.000152487762557579,5.14018700274417e-15,4.28603123425037e-15,0.00013752445511685,1.55794295690056e-14,8.09435998625957e-09,-1.01011114452918e-14,-8.10233087693611e-15,-9.77736615587974e-15,-6.6564912377942e-15,1.66672464358351e-14,-0.30316172209409,0.181237332545821,3.36637482183598e-13,0.821307849119894,1.90902689489627e-12,4.13588903718789e-14,-0.0999999999999935
"Galium_porrigens",-0.130617315670488,-0.0144070552299121,-0.128430465094036,0.000328287267113893,0.00076453092364476,0.0120252248984211,0.00780737892961944,-0.0119817071464052,0.000549695915080781,-0.0314610740901427,0.000100923657023836,-1.95235570890932e-06,0.319994229297187,2.6719284297477e-06,-0.0167152030870986,0.00522145215308411,1.00130918668827e-16,6.00070423962973e-16,-5.87178029845286e-16,-1.61660873093841e-05,0.0138542519267611,-4.75160923426394e-06,1.19440609273965e-05,-0.218158682172972,-0.00197776189280262,4.26805654034597e-07,4.41823780545406e-07,-6.48789544877277e-16,-5.21225548063817e-05,-1.79297601869953e-06,-1.99683031057346e-06,6.56456205919561e-06,1.9530091414075e-15,1.91410656272979e-15,-2.11867249620819e-15,-4.71386633040228e-16,2.1097894124305e-15,1.07895915861054e-16,-2.81425517946161e-15,-4.03668744474803e-16,-8.1237862807408e-16,-5.37118490242477e-16,2.01134833733724e-15,2.38376793988861e-15,-1.81418038700018e-08,-0.0594882842517361,-4.44565874565491e-07,-8.9770328710262e-08,7.70211459368487e-17,1.89600715466668e-05,1.64424880703307e-15,0.0193515645105294,5.47002868394634e-16,8.5544341945961e-08,3.63681743949109e-07,-0.000169926550091161,-2.92543766988729e-14,-1.13884596197877e-15,-1.01624438031411e-14,-7.60021921673102e-17,1.26414025966875e-16,-4.38531037534294e-16,-1.98632552623925e-15,1.34010254182261e-09,3.65572288675409e-15,-3.67471272394613e-15,-7.96907466600011e-16,-3.15722686153426e-15,0.000224391292024399,-5.48620539591665e-08,-1.50226260274234e-08,7.02553930317724e-16,4.41108132875182e-15,-9.06384834599009e-16,-8.32862640219845e-16,4.7413684249077e-15,1.78980686214469e-16,-4.07016125850417e-15,8.27804322373395e-08,0.0011204875787749,-7.51295649660207e-09,-1.4212974445129e-15,-0.000146071432198195,-4.10003651577957e-15,1.24557774334272e-15,0.000129227265031019,-4.50526410943488e-15,7.21492736495063e-09,-1.70319845566143e-14,-2.71198064684515e-16,1.04833693843756e-14,7.1164061524638e-14,8.13946120613506e-14,0.100552364368398,-0.888972719618742,-6.81080142236444e-13,-0.0103548335205309,-5.25630860996171e-13,2.2843740655175e-14,-0.100000000000016
"Galium_boreale",-0.130611429062694,-0.0144057356163297,-0.128380117325719,0.000328089432132602,0.000763855168036096,0.0120127138603853,0.00779664156622334,-0.0119639842856783,0.000548734937561466,-0.0313996586600592,0.000100671147712695,-1.9468264220873e-06,0.319036229460992,2.66368268325276e-06,-0.0166626790532026,0.00520383157718465,2.59737928665056e-16,4.2040178286307e-16,-1.4480322661896e-16,-1.6102043961606e-05,0.0137974163681255,-4.73193743213674e-06,1.18853742597647e-05,-0.216997994743568,-0.00196451267045242,4.2373940624065e-07,4.38564564349043e-07,7.81151899772967e-16,-5.1706399078009e-05,-1.77768975383162e-06,-1.97912773215754e-06,6.50228598070606e-06,2.39521167223759e-15,2.06453305367108e-15,-2.79516390160131e-15,1.41632712042178e-16,1.93367196190461e-15,1.90169200310228e-17,-9.09203026375059e-16,-5.35633495742599e-16,4.6408880538612e-16,-4.13314269318616e-16,2.21756175092345e-15,2.5299737586179e-16,-1.79648292824823e-08,-0.0588809523312984,-4.39684444455032e-07,-8.8752556121317e-08,-5.06360022978863e-16,1.86906217017913e-05,2.62180128225816e-15,0.0190596056350745,1.71387717494979e-15,8.42210196826777e-08,3.57922913610864e-07,-0.000167140557139442,-8.21565038222616e-15,3.5600862535734e-15,-2.6779793660392e-15,-1.8909731344819e-15,-8.4952228742329e-16,2.94417192262945e-16,-5.204841636719e-16,1.31408993711931e-09,-2.64378177914629e-16,1.47189120457438e-15,2.27716557094666e-15,4.97137683051434e-15,0.000217970569350924,-5.32260489424633e-08,-1.45634523773013e-08,-5.54111389627999e-17,3.01607275274424e-15,-1.57598075851437e-15,-1.18230346329267e-15,3.01883250570975e-15,-1.87656588050415e-15,4.42017311184443e-15,7.98229481501991e-08,0.00107759802492034,-7.1961031088051e-09,-4.12180053566027e-15,-0.000139362708204231,-3.87024936338863e-15,-7.72147697650178e-15,0.000120498937746403,-2.4465024530688e-14,6.27464092584247e-09,8.36302574099067e-15,1.15649246118551e-14,1.73143661283487e-14,-6.66142896392073e-14,-9.46078757752063e-14,0.836833475506417,0.31844201423613,2.17339865892904e-13,-0.0042678486418089,-3.41293362640419e-14,1.02679301491031e-14,-0.100000000000006
"Galium_tinctorium",-0.129312393738117,-0.0141137106301963,-0.117032748911816,0.000282917273671987,0.000606811576645204,0.00907610556184107,0.00522126123472745,-0.00768410776944742,0.00031249509078365,-0.0160931275651584,3.5304374814764e-05,-4.81463940631949e-07,0.062161051459149,4.37749870880135e-07,-0.00242522217130284,0.000344472694171118,1.37206621529033e-16,-3.7738620201912e-16,-1.24019222911635e-16,2.37026512028702e-06,-0.00277831807542526,1.02233290517451e-06,-6.40137758848898e-06,0.15751691256725,0.002894455438378,-7.57441898584494e-07,-8.42575604500485e-07,-1.78385337215525e-16,0.000123123654836816,5.06305311389819e-06,6.2807127327104e-06,-2.50110191804559e-05,-8.55033490535982e-15,-8.65592948388939e-15,9.21233756142955e-15,-1.5783517790922e-15,-5.79497659784063e-15,4.68524686249098e-16,6.60582897685194e-15,6.71865872664718e-15,5.44228036695146e-15,-4.44807860023809e-16,-8.00661311831331e-15,-1.8184413505456e-14,7.49801603024582e-08,0.281903838182142,2.65890476142351e-06,5.99103086695378e-07,-1.19458164173307e-15,-0.000360095992450625,-4.26136772472325e-14,-0.591818363404133,-3.55214269441758e-14,-3.43418476682755e-06,-2.02926328005692e-05,0.0212964234337068,-9.78384040450919e-14,1.24657228983693e-13,9.30028623558066e-14,2.99687113656651e-14,1.71446915575576e-14,1.37369462327918e-14,4.1722179024746e-14,4.01543419788702e-08,0.707106781186539,-9.16734297617353e-15,-2.79341718173889e-14,-3.56857829744019e-15,0.00229666637195666,-5.3391606372777e-07,-1.42204624084268e-07,2.50835201936422e-15,1.75310172614844e-16,-1.93822283215943e-15,-6.17889660517327e-16,-5.60409852607249e-15,-3.5418229643639e-15,4.88815822970999e-15,6.79034868371142e-07,0.00874576775321416,-5.52543491810514e-08,-4.04035425349149e-15,-0.00102785087958989,-1.99221059240443e-15,-1.71757253073727e-15,0.000793640523088603,4.8114379846933e-16,4.00804728791892e-08,-1.16112354302313e-15,-1.10728176038096e-16,1.82155282882509e-16,-3.5040064602412e-16,-2.86540183982484e-15,-0.000811225953686232,0.000114552934005167,-1.63123289335831e-15,-7.80387872028177e-06,2.84834530519077e-15,1.62579950044366e-15,-0.100000000000003
"Galium_bifolium",-0.129312393738117,-0.0141137106301963,-0.117032748911816,0.000282917273671897,0.00060681157664529,0.00907610556184097,0.00522126123472825,-0.00768410776944748,0.000312495090784515,-0.0160931275651585,3.53043748146686e-05,-4.81463940078572e-07,0.0621610514591485,4.37749869616148e-07,-0.00242522217130187,0.000344472694171787,7.66902972809669e-17,-2.55495830889633e-16,3.68278446529166e-16,2.37026512030935e-06,-0.0027783180754244,1.02233290474826e-06,-6.40137758753399e-06,0.15751691256725,0.00289445543838262,-7.57441898267955e-07,-8.4257560893043e-07,-1.78946082853626e-16,0.000123123654837142,5.0630531153977e-06,6.28071273326562e-06,-2.50110191817103e-05,-1.05359037462333e-14,-9.08201475071541e-15,8.4471102527431e-15,8.72428395423497e-16,-6.6415592671602e-15,-5.58567676352033e-17,6.52339201274897e-15,6.35203484979395e-15,5.08787235950927e-15,2.88750004521147e-16,-4.47231699386875e-15,-1.37038172248436e-14,7.4980157456904e-08,0.281903838182139,2.65890476319792e-06,5.9910308708072e-07,5.48509567769427e-16,-0.000360095992439925,-3.85936215442434e-14,-0.591818363404114,-3.42924061960249e-14,-3.43418477462405e-06,-2.02926327986198e-05,0.0212964234336982,-9.0205620750794e-14,1.6411177972131e-13,9.07824163065563e-14,3.71369850677753e-14,2.33511297683825e-14,2.14395252112152e-15,-4.53613671299183e-14,4.01539915611297e-08,-0.707106781186556,6.06540448575508e-15,8.30232241643443e-15,4.36669261296362e-15,0.00229666637193791,-5.33916062212916e-07,-1.4220461857277e-07,-6.5841827849583e-15,-4.59576417050661e-16,-1.53575625193847e-15,-1.17162051713029e-15,-3.27988435577356e-15,-1.87346809831093e-15,-1.91068942312869e-15,6.79034866236863e-07,0.00874576775322506,-5.52543562307207e-08,7.4427403915405e-16,-0.0010278508795834,1.24832225569267e-16,-4.94925799881163e-15,0.000793640523092625,-3.37685791112302e-15,4.00804735176649e-08,-3.81610128686458e-15,8.76310811569176e-16,5.5266713000614e-15,-2.30558803665496e-15,1.31604012279683e-15,-0.000811225953685188,0.00011455293400006,8.75280662810331e-16,-7.8038787187691e-06,1.14137740482959e-15,3.45519689056226e-15,-0.100000000000003
